MNJ, 후애

디셈버, 돌아올 순 없나요

조장혁, 중독된 사랑

김경호, 사랑했지만

김상민, You

김장훈, 세상이 그대를 속일지라도

더 넛츠, 사랑의 바보

더 크로스, don't cry

마야, 나를 외치다

마야, 진달래꽃

얀, 심

박기영, 마지막 사랑

부활, lonely night

버즈, my love

부활, never ending story

서문탁, 사랑 결코 시들지 않는

엠씨더맥스, 내 마지막 숨소리

엠씨더맥스, 행복하지 말아요

엠씨더맥스, 잠시만 안녕

야다, 이미 슬픈 사랑

얀, 그래서 그대는

에메랄드 캐슬, 발걸음

dk, 심

디셈버, 별이될께

윤도현, 너를 보내고

윤도현, 사랑 two

조유진&박기영, 나에게로의 초대

최재훈, 비의 랩소디

플라워, Endless

고유진, 걸음이 느린 아이

조유진, stay

Nell, 지구가 태양을 네번

더 크로스, 당신을 위하여

더 크로스, 백설공주를 사랑한 난장이

izi, 응급실

박기영, 나비

체리필터, 피아니시모

빅마마, 체념

노라조, 형

가비앤제이, 눈사람

뱅크, 가질 수 없는 너

브이원, 면도

하동균, 그녀를 사랑해줘요

플라워, please

엠씨더맥스, 사랑의시

김정민, 슬픈언약식

김현성, heaven

임재범, 나를 위해

vos, 눈을 보고 말해요

sky, 영원

나윤권, 기대

버즈, 모놀로그

조성모, 가시나무

엠씨더맥스, 어디에도

엠씨더맥스, 사계

엠씨더맥스, 넘쳐흘러

한경일, 내 삶의 반

더크로스, 떠나가요 떠나지마요

Nell, 기억을 걷는 시간

kcm, 흑백사진

하현우, 라젠카

빅마마, 연

나얼, 바람기억

이소라, Track9

이소라, 바람이 분다

에피톤 프로젝트, 부디

에피톤 프로젝트, 선인장

김경호, 금지된 사랑

김경호, 나를 슬프게 하는 사람들

이수, my way

부활, 비밀

박화요비, 그런일은

박화요비, 어떤가요

Tim, 사랑합니다

Eco, 행복한 나를

브이원, 그런가봐요

정재욱, 잘가요

이기찬, 미인
